13:13:10.120 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
13:13:14.672 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@14faa38c from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
13:13:15.312 [cluster-rtt-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:33331}] to ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017
13:13:15.312 [cluster-rtt-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:32892}] to ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017
13:13:15.312 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:32892}] to ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017
13:13:15.312 [cluster-rtt-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:36784}] to ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017
13:13:15.313 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:36784}] to ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017
13:13:15.313 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:33331}] to ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017
13:13:15.316 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=316803500, setName='atlas-6hy5b4-shard-0', canonicalAddress=ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017, hosts=[ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017, ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017, ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=85, topologyVersion=TopologyVersion{processId=68f80ca9fb4fadca738f6d57, counter=3}, lastWriteDate=Thu Oct 23 13:13:11 IST 2025, lastUpdateTimeNanos=10803459807200}
13:13:15.316 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=352508700, setName='atlas-6hy5b4-shard-0', canonicalAddress=ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017, hosts=[ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017, ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017, ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000006d, setVersion=85, topologyVersion=TopologyVersion{processId=68f80aa14410bbacef53ff2f, counter=6}, lastWriteDate=Thu Oct 23 13:13:11 IST 2025, lastUpdateTimeNanos=10803459972300}
13:13:15.316 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=348211600, setName='atlas-6hy5b4-shard-0', canonicalAddress=ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017, hosts=[ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017, ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017, ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=85, topologyVersion=TopologyVersion{processId=68f80b4b4ff9120d50d937aa, counter=4}, lastWriteDate=Thu Oct 23 13:13:11 IST 2025, lastUpdateTimeNanos=10803461884900}
13:13:15.321 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000006d from replica set primary ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017
13:13:15.322 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 85 from replica set primary ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017
13:13:15.322 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017
13:13:15.659 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:36774}] to ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017
13:13:16.136 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@63ec445c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3104351d, org.springframework.security.web.context.SecurityContextPersistenceFilter@5bcde458, org.springframework.security.web.header.HeaderWriterFilter@173373b4, org.springframework.security.web.authentication.logout.LogoutFilter@5631962, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7ec58feb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77bd7fe7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@71870da7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@77d18d0b, org.springframework.security.web.session.SessionManagementFilter@1f1cae23, org.springframework.security.web.access.ExceptionTranslationFilter@69c93ca4, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@29c5ee1d]
13:13:16.600 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:13:16.633 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:13:16.648 [main] INFO  c.csmayur.Journal.JournalApplication - Started JournalApplication in 7.082 seconds (JVM running for 7.78)
13:13:24.205 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:13:24.205 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:13:24.206 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
